"","text1","text2","text3","text4","text5","text6","text7","text8","text9","text10","text11","text12","text13","text14","text15","text16","text17","text18","text19","text20","text21","text22","text23"
"text11",0.34466696912533,0.26360033262543,0.29662670494268,0.38305503897056,0.0906668835679,0.23405895484412,0.31732532468025,0.29139933350572,0.40390346182443,0.32865787771814,1.00000000000016,0.29035688519966,0.40084933707699,0.08286548316526,0.22741279812367,0.32952756431468,0.43027299394569,0.08923480584467,0.32385418973698,0.4215685216644,0.06454956384234,0.32591552817182,0.34437714065915
"text12",0.40013616470292,0.30048646253064,0.35297958827421,0.44327406332139,0.16324250714686,0.35598811369526,0.35344893822148,0.54089720577474,0.59904411392765,0.55655830127227,0.29035688519966,1.00000000000012,0.59971945695098,0.16238245362491,0.42664540755313,0.31432237488287,0.54873744013577,0.17326787738319,0.57687012896422,0.51216012036804,0.04876043915169,0.41303806607071,0.43217591034631
"text13",0.47933546861204,0.45213798837897,0.42334869611486,0.53675454619744,0.25755454742868,0.4030727533445,0.45567539291105,0.54831086533877,0.99964075977729,0.68242684775356,0.40084933707699,0.59971945695098,1.00000000000001,0.42077849525359,0.6788641558411,0.41981635382144,0.67876817987872,0.43252168743303,0.63587122951495,0.61897142724032,0.15593769356267,0.52790605736692,0.52653834091844
"text14",0.10451653163232,0.16672104548138,0.13920283786341,0.12415602716878,0.21958960949103,0.09111185039103,0.08288515610606,0.18856931121265,0.41930890447596,0.17283043474186,0.08286548316526,0.16238245362491,0.42077849525359,1.00000000000003,0.1983540863801,0.10825212974435,0.15419061404919,0.97882584210629,0.20343643210495,0.13116115737002,0.13308554611701,0.11137817049613,0.18251412732261
"text15",0.30452446212833,0.30477270453273,0.28225107612776,0.36772848758378,0.17564050171859,0.32927186943787,0.29586305165,0.3434095617105,0.68120048491556,0.55723909336903,0.22741279812367,0.42664540755313,0.6788641558411,0.1983540863801,0.99999999999979,0.21524708726567,0.4115691056646,0.20550893447645,0.47709228454952,0.3838623254959,0.09044553032833,0.37104179380092,0.37955567793455
"text16",0.2185653623729,0.24185989984156,0.1998660905274,0.21203895606363,0.11103101604793,0.14078073917271,0.22988622041462,0.35995145943579,0.42076387333992,0.26834883545102,0.32952756431468,0.31432237488287,0.41981635382144,0.10825212974435,0.21524708726567,1.00000000000006,0.55420628289591,0.11416838453477,0.29281839899948,0.6103347334875,0.10042992621524,0.25058661542819,0.24872865898279
"text17",0.4129198558763,0.2783698544638,0.26167390013767,0.40970361074233,0.12694681624257,0.22368202193053,0.41390849135035,0.56249145718882,0.67920777759044,0.49229926678103,0.43027299394569,0.54873744013577,0.67876817987872,0.15419061404919,0.4115691056646,0.55420628289591,0.99999999999988,0.17116847655625,0.4558479245222,0.93136611387915,0.09463437627852,0.48844870302136,0.39820935813251
"text18",0.11086536832076,0.17931043551825,0.14768829423168,0.13328383932837,0.2307181140519,0.09261596873349,0.08984534945733,0.20949487281633,0.43076687664788,0.18561744270661,0.08923480584467,0.17326787738319,0.43252168743303,0.97882584210629,0.20550893447645,0.11416838453477,0.17116847655625,1.00000000000009,0.21894904525491,0.14539537350917,0.12951817671835,0.12552607949114,0.19401702591252
"text19",0.60208346575854,0.49646449081775,0.54999345685472,0.6797297523835,0.29952236559431,0.59959532461083,0.45510060896666,0.72787572748141,0.63620432643019,0.55772530141055,0.32385418973698,0.57687012896422,0.63587122951495,0.20343643210495,0.47709228454952,0.29281839899948,0.4558479245222,0.21894904525491,0.99999999999989,0.41324444159877,0.07653522634473,0.45666070978221,0.41885406013565
"text20",0.36974972664792,0.2361377149764,0.21841613046026,0.36097428827972,0.10482838647442,0.18099188901709,0.38567182147328,0.53618767711352,0.61955244034022,0.47034312717857,0.4215685216644,0.51216012036804,0.61897142724032,0.13116115737002,0.3838623254959,0.6103347334875,0.93136611387915,0.14539537350917,0.41324444159877,0.99999999999985,0.07295456229357,0.47212732371526,0.35906049935939
"text21",0.08542392608816,0.13271005206929,0.07418799375986,0.07896908529585,0.06695309928346,0.05090725259299,0.0760777449882,0.066103317704,0.15729464434619,0.08798267164984,0.06454956384234,0.04876043915169,0.15593769356267,0.13308554611701,0.09044553032833,0.10042992621524,0.09463437627852,0.12951817671835,0.07653522634473,0.07295456229357,1.00000000000008,0.07773472583457,0.08228818511645
"text22",0.37895942175852,0.30555319969189,0.29797560932246,0.4329741747217,0.1481868558348,0.28979087092071,0.64130905667025,0.41683139453982,0.5294856913155,0.49600213225661,0.32591552817182,0.41303806607071,0.52790605736692,0.11137817049613,0.37104179380092,0.25058661542819,0.48844870302136,0.12552607949114,0.45666070978221,0.47212732371526,0.07773472583457,1.00000000000008,0.28720006156883
"text23",0.32646383797038,0.38938779055357,0.45681602388148,0.40238003126011,0.15459089830023,0.38121599837592,0.27526058008284,0.36832589850469,0.52739332419991,0.49035277514784,0.34437714065915,0.43217591034631,0.52653834091844,0.18251412732261,0.37955567793455,0.24872865898279,0.39820935813251,0.19401702591252,0.41885406013565,0.35906049935939,0.08228818511645,0.28720006156883,1
